Date,Open,High,Low,Close,Adj Close,Volume
1999-07-16,62.125,62.3125,61.625,62.0625,17.94513511657715,231400
1999-07-19,63.625,63.6875,61.5,62.1875,17.981287002563477,158200
1999-07-20,61.75,61.75,60.75,60.875,17.60177993774414,79400
1999-07-21,60.875,61.1875,60.375,61.0,17.637928009033203,75200
1999-07-22,60.9375,61.0,60.625,60.875,17.60177993774414,33500
1999-07-23,58.5,58.5,57.25,57.5625,16.64398193359375,114700
1999-07-26,57.3125,58.25,57.25,58.0,16.770484924316406,46000
1999-07-27,59.3125,60.25,59.0,60.125,17.384931564331055,82400
1999-07-28,58.5,59.375,58.0,58.875,17.02349090576172,93100
1999-07-29,58.875,58.875,57.5,57.5,16.625911712646484,65600
1999-07-30,60.25,60.25,59.5,60.25,17.421072006225586,82900
1999-08-02,60.5,63.3125,60.5,62.625,18.1077938079834,73700
1999-08-03,63.25,63.25,62.375,63.0,18.21622085571289,97300
1999-08-04,63.25,64.0,62.5625,63.875,18.469226837158203,64500
1999-08-05,61.3125,61.75,60.0,61.6875,17.83671760559082,192800
1999-08-06,59.8125,60.125,59.0,59.125,17.095775604248047,110200
1999-08-09,58.75,59.0,58.5625,58.6875,16.96927261352539,52900
1999-08-10,57.0,57.625,56.625,57.625,16.662052154541016,67500
1999-08-11,58.25,58.75,57.875,58.75,16.987346649169922,46500
1999-08-12,61.125,61.125,60.375,60.4375,17.47527313232422,70200
1999-08-13,60.0,61.0,60.0,60.625,17.529495239257812,55200
1999-08-16,60.625,60.875,60.25,60.5625,17.51142120361328,53000
1999-08-17,61.0,61.0,60.5,60.625,17.529495239257812,36800
1999-08-18,60.5,60.625,59.625,59.9375,17.54456901550293,36000
1999-08-19,61.0,62.125,61.0,61.9375,18.130002975463867,69300
1999-08-20,62.5,63.375,62.5,63.25,18.514179229736328,52300
1999-08-23,63.625,64.875,63.625,63.875,18.6971378326416,105400
1999-08-24,63.5,63.6875,62.1875,63.6875,18.64224624633789,119000
1999-08-25,63.75,64.0,61.6875,61.75,18.075109481811523,137700
1999-08-26,63.5,63.5,61.875,61.9375,18.130002975463867,89700
1999-08-27,62.1875,62.625,61.0625,61.125,17.89217185974121,88100
1999-08-30,62.5,62.8125,61.875,61.9375,18.130002975463867,97400
1999-08-31,62.1875,62.5,61.375,62.25,18.221473693847656,51000
1999-09-01,61.6875,61.6875,61.1875,61.625,18.03852081298828,81200
1999-09-02,60.6875,60.75,60.0,60.6875,17.76410484313965,41400
1999-09-03,61.5,61.75,61.3125,61.75,18.075109481811523,88300
1999-09-07,62.25,62.25,61.625,61.75,18.075109481811523,21900
1999-09-08,61.0,61.4375,60.875,61.25,17.92875862121582,25900
1999-09-09,62.75,62.75,62.3125,62.625,18.33124351501465,74300
1999-09-10,62.75,62.75,62.25,62.75,18.367830276489258,82200
1999-09-13,61.625,61.75,61.1875,61.625,18.03852081298828,75400
1999-09-14,60.875,60.875,60.4375,60.5625,17.72751235961914,59200
1999-09-15,59.1875,59.1875,58.0,58.75,17.19696807861328,118500
1999-09-16,58.5,58.625,58.0,58.5,17.12378692626953,58400
1999-09-17,59.3125,60.25,59.3125,60.125,17.599458694458008,54200
1999-09-20,59.5,59.6875,59.0625,59.6875,17.471393585205078,41100
1999-09-21,58.8125,58.8125,57.75,57.8125,16.92254638671875,50900
1999-09-22,57.875,59.0,57.875,58.875,17.233564376831055,97000
1999-09-23,58.75,58.75,57.5,57.5625,16.8493709564209,33700
1999-09-24,58.625,58.75,57.8125,58.0,16.977436065673828,44700
1999-09-27,59.75,60.375,59.6875,59.75,17.48969078063965,66700
1999-09-28,58.625,58.75,57.75,57.9375,16.959142684936523,86900
1999-09-29,56.8125,57.5625,56.8125,57.125,16.721303939819336,79600
1999-09-30,57.375,58.0625,57.375,58.0625,16.9957332611084,58400
1999-10-01,58.0625,58.0625,57.1875,57.8125,16.92254638671875,28500
1999-10-04,58.25,59.375,58.25,59.1875,17.325037002563477,55300
1999-10-05,58.25,58.8125,58.0,58.0625,16.9957332611084,61400
1999-10-06,58.875,59.5,58.8125,59.125,17.306739807128906,30400
1999-10-07,59.375,59.4375,58.25,58.5,17.12378692626953,308700
1999-10-08,58.5,58.9375,58.125,58.8125,17.21526527404785,32500
1999-10-11,58.25,58.375,57.6875,58.125,17.01403045654297,34200
1999-10-12,58.0,58.0,56.0625,57.125,16.721303939819336,94700
1999-10-13,56.0625,56.0625,54.6875,55.25,16.172470092773438,159300
1999-10-14,55.5625,56.625,55.125,56.625,16.57495880126953,81900
1999-10-15,54.0,54.5,53.125,53.9375,15.78828239440918,124700
1999-10-18,53.5,53.8125,53.25,53.8125,15.751697540283203,20900
1999-10-19,55.125,55.625,54.75,54.9375,16.081003189086914,28800
1999-10-20,55.375,56.5,55.375,56.5,16.538358688354492,61900
1999-10-21,53.75,54.75,53.75,54.75,16.026121139526367,84100
1999-10-22,57.375,57.8125,57.125,57.4375,16.812774658203125,43300
1999-10-25,56.8125,57.6875,56.8125,57.5625,16.8493709564209,97400
1999-10-26,57.5625,58.0,57.375,57.5,16.83107566833496,79700
1999-10-27,57.125,58.0,56.875,57.9375,16.959142684936523,35000
1999-10-28,59.5625,60.75,58.4375,59.125,17.306739807128906,542500
1999-10-29,61.0,61.75,61.0,61.5625,18.020235061645508,179400
1999-11-01,61.0,61.0,60.5625,60.75,17.78240203857422,60100
1999-11-02,60.8125,60.875,60.4375,60.5,17.709228515625,34800
1999-11-03,60.875,61.125,60.25,60.875,17.818988800048828,56400
1999-11-04,61.9375,62.5,61.5,61.875,18.111703872680664,95000
1999-11-05,61.8125,62.25,61.5,62.0,18.148298263549805,54200
1999-11-08,61.5625,62.3125,61.5,61.5625,18.020235061645508,59300
1999-11-09,63.375,63.875,63.0625,63.3125,18.53247833251953,107100
1999-11-10,63.125,63.4375,63.0,63.1875,18.495895385742188,34700
1999-11-11,63.1875,63.25,62.25,62.4375,18.276350021362305,52300
1999-11-12,62.5625,64.1875,62.25,64.1875,18.78860855102539,51600
1999-11-15,64.125,64.625,63.8125,64.0,18.733728408813477,67100
1999-11-16,65.625,67.5,65.625,67.375,19.721630096435547,93500
1999-11-17,66.875,67.5625,66.8125,67.4375,19.739927291870117,65400
1999-11-18,66.375,67.375,66.1875,67.0,19.61186981201172,94900
1999-11-19,66.625,66.625,65.6875,66.0,19.31915283203125,61800
1999-11-22,66.75,67.0,65.8125,66.25,19.392324447631836,52600
1999-11-23,67.3125,67.75,67.125,67.3125,19.70332908630371,76500
1999-11-24,67.5,70.0,67.5,69.4375,20.325361251831055,84400
1999-11-26,67.75,68.0,67.1875,67.75,19.831398010253906,38700
1999-11-29,68.9375,68.9375,68.25,68.6875,20.105819702148438,53300
1999-11-30,65.125,65.875,64.75,65.1875,19.081323623657227,77300
1999-12-01,65.0,66.25,65.0,66.25,19.392324447631836,72600
1999-12-02,66.0,66.5625,65.8125,66.4375,19.447216033935547,49200
1999-12-03,67.0,67.9375,67.0,67.125,19.648460388183594,74100
1999-12-06,67.875,68.4375,67.25,67.5,19.75821304321289,220200
1999-12-07,67.625,67.625,66.0625,66.25,19.392324447631836,71800
1999-12-08,66.25,67.625,66.0625,67.125,19.648460388183594,110600
1999-12-09,67.125,67.625,67.125,67.5,19.75821304321289,37400
1999-12-10,68.625,69.75,68.625,69.625,20.3802490234375,77300
1999-12-13,68.625,69.375,68.5625,69.25,20.270479202270508,36100
1999-12-14,69.0,69.75,69.0,69.6875,20.39853858947754,73900
1999-12-15,66.75,67.125,66.5,67.0,19.61186981201172,63900
1999-12-16,67.25,67.875,67.0,67.25,19.685043334960938,45100
1999-12-17,68.25,68.875,68.125,68.25,19.977750778198242,42700
1999-12-20,69.5,69.5,68.0,68.1875,19.95945930480957,44900
1999-12-21,68.4375,69.0,68.125,68.5625,20.069229125976562,35500
1999-12-22,69.0,69.0,68.4375,68.625,20.08753204345703,28300
1999-12-23,68.875,69.5,68.5625,69.4375,20.325361251831055,26500
1999-12-27,69.3125,70.75,69.0,70.625,20.67295265197754,52400
1999-12-28,70.875,70.875,70.0,70.625,20.67295265197754,26600
1999-12-29,69.375,70.5,68.6875,70.375,20.599777221679688,42300
1999-12-30,70.375,70.625,70.125,70.5,20.636367797851562,19500
1999-12-31,70.5,71.5,70.5,71.375,20.892494201660156,22200
2000-01-03,71.4375,71.5,70.3125,70.6875,20.69124984741211,59500
2000-01-04,67.0625,68.0,66.0,66.375,19.42892074584961,84500
2000-01-05,64.75,66.3125,63.75,66.0,19.31915283203125,118200
2000-01-06,64.0,64.375,63.1875,64.125,18.77031135559082,105400
2000-01-07,63.75,65.9375,63.375,65.9375,19.30085563659668,117700
2000-01-10,63.75,66.0,63.375,66.0,19.31915283203125,61400
2000-01-11,62.75,63.5,62.3125,62.625,18.33124351501465,103200
2000-01-12,63.0,63.375,62.75,63.375,18.55077362060547,47300
2000-01-13,63.375,64.625,62.9375,64.25,18.806903839111328,50000
2000-01-14,63.0625,64.0,62.75,63.875,18.6971378326416,66700
2000-01-18,62.25,63.3125,61.625,63.1875,18.495895385742188,128200
2000-01-19,59.375,61.875,59.25,61.0625,17.873868942260742,226700
2000-01-20,59.25,59.25,57.75,57.875,16.940841674804688,237900
2000-01-21,60.1875,60.75,59.125,59.125,17.306739807128906,167100
2000-01-24,61.0,61.0,59.125,59.5625,17.434803009033203,106800
2000-01-25,58.9375,59.125,58.5,59.0,17.270151138305664,71700
2000-01-26,59.0,60.125,59.0,60.125,17.599458694458008,62400
2000-01-27,62.0625,62.5625,61.375,61.625,18.03852081298828,84400
2000-01-28,59.8125,60.75,59.8125,60.0,17.562862396240234,64200
2000-01-31,59.25,61.125,58.75,61.125,17.89217185974121,58200
2000-02-01,59.0,59.75,58.5,59.75,17.48969078063965,69900
2000-02-02,58.5,59.1875,58.25,59.0,17.270151138305664,84600
2000-02-03,59.75,60.0,59.375,59.8125,17.507976531982422,38600
