Date,Open,High,Low,Close,Adj Close,Volume
1995-10-16,5.75,5.8125,5.75,5.8125,1.934525728225708,62000
1995-10-17,5.8125,5.8125,5.8125,5.8125,1.934525728225708,53200
1995-10-18,5.78125,5.84375,5.78125,5.8125,1.934525728225708,72000
1995-10-19,5.84375,5.84375,5.8125,5.8125,1.934525728225708,5200
1995-10-20,5.71875,5.71875,5.65625,5.65625,1.8825242519378662,16400
1995-10-23,5.46875,5.46875,5.25,5.25,1.747315526008606,34000
1995-10-24,5.1875,5.34375,5.125,5.34375,1.7785168886184692,50400
1995-10-25,5.3125,5.3125,5.21875,5.21875,1.7369147539138794,65600
1995-10-26,5.28125,5.28125,5.1875,5.1875,1.726513385772705,63200
1995-10-27,5.125,5.40625,5.125,5.40625,1.7993189096450806,145200
1995-10-30,5.46875,5.5,5.3125,5.40625,1.7993189096450806,65200
1995-10-31,5.65625,5.75,5.59375,5.625,1.8721235990524292,88400
1995-11-01,5.65625,5.65625,5.5625,5.59375,1.86172354221344,45200
1995-11-02,5.5625,5.6875,5.5625,5.6875,1.892924427986145,13200
1995-11-03,5.71875,5.71875,5.6875,5.71875,1.903325080871582,35200
1995-11-06,5.65625,5.75,5.65625,5.75,1.9137264490127563,110000
1995-11-07,5.625,5.6875,5.625,5.6875,1.892924427986145,16800
1995-11-08,5.65625,5.65625,5.65625,5.65625,1.8825242519378662,33600
1995-11-09,5.6875,5.6875,5.59375,5.59375,1.86172354221344,12000
1995-11-10,5.5625,5.59375,5.5625,5.59375,1.86172354221344,11200
1995-11-13,5.625,5.71875,5.59375,5.71875,1.903325080871582,14000
1995-11-14,5.65625,5.71875,5.65625,5.71875,1.903325080871582,12800
1995-11-15,5.65625,5.65625,5.625,5.625,1.8721235990524292,5600
1995-11-16,5.71875,5.71875,5.6875,5.6875,1.892924427986145,4800
1995-11-17,5.6875,5.71875,5.6875,5.6875,1.892924427986145,11200
1995-11-20,5.6875,5.75,5.6875,5.71875,1.903325080871582,10000
1995-11-21,5.71875,5.71875,5.71875,5.71875,1.903325080871582,0
1995-11-22,5.75,5.75,5.75,5.75,1.9137264490127563,1600
1995-11-24,5.78125,5.78125,5.78125,5.78125,1.924127459526062,400
1995-11-27,5.78125,5.8125,5.78125,5.8125,1.934525728225708,8000
1995-11-28,5.75,5.78125,5.75,5.78125,1.924127459526062,6800
1995-11-29,5.71875,5.71875,5.71875,5.71875,1.903325080871582,9200
1995-11-30,5.75,5.75,5.71875,5.75,1.9137264490127563,18800
1995-12-01,5.75,5.84375,5.75,5.8125,1.934525728225708,25200
1995-12-04,5.875,5.875,5.84375,5.875,1.955328345298767,5600
1995-12-05,5.9375,5.9375,5.875,5.875,1.955328345298767,16400
1995-12-06,5.90625,5.9375,5.875,5.90625,1.9657293558120728,42400
1995-12-07,5.875,5.875,5.875,5.875,1.955328345298767,4800
1995-12-08,5.875,5.875,5.84375,5.875,1.955328345298767,7600
1995-12-11,5.84375,5.84375,5.8125,5.8125,1.934525728225708,2800
1995-12-12,5.65625,5.6875,5.625,5.625,1.8721235990524292,14400
1995-12-13,5.625,5.625,5.625,5.625,1.8721235990524292,6800
1995-12-14,5.625,5.625,5.625,5.625,1.8721235990524292,0
1995-12-15,5.71875,5.71875,5.65625,5.65625,1.8825242519378662,7200
1995-12-18,5.5625,5.5625,5.5,5.5,1.8305200338363647,27200
1995-12-19,5.46875,5.53125,5.46875,5.53125,1.8409210443496704,3200
1995-12-20,5.65625,5.65625,5.625,5.625,1.8721235990524292,3600
1995-12-21,5.625,5.625,5.625,5.625,1.8721235990524292,0
1995-12-22,5.625,5.6875,5.625,5.6875,1.892924427986145,2800
1995-12-26,5.6875,5.6875,5.6875,5.6875,1.892924427986145,2400
1995-12-27,5.6875,5.71875,5.6875,5.71875,1.903325080871582,2800
1995-12-28,5.6875,5.75,5.6875,5.75,1.9137264490127563,2000
1995-12-29,5.75,5.75,5.75,5.75,1.9137264490127563,800
1996-01-02,5.75,5.78125,5.71875,5.78125,1.924127459526062,7600
1996-01-03,5.75,5.875,5.75,5.84375,1.9449284076690674,86800
1996-01-04,5.84375,5.90625,5.84375,5.90625,1.9657293558120728,5600
1996-01-05,5.90625,5.90625,5.90625,5.90625,1.9657293558120728,2000
1996-01-08,5.90625,5.9375,5.90625,5.9375,1.9761309623718262,38800
1996-01-09,5.875,5.90625,5.875,5.90625,1.9657293558120728,4000
1996-01-10,5.84375,5.84375,5.75,5.75,1.9137264490127563,15200
1996-01-11,5.75,5.75,5.6875,5.71875,1.903325080871582,4000
1996-01-12,5.71875,5.71875,5.71875,5.71875,1.903325080871582,0
1996-01-15,5.78125,5.78125,5.78125,5.78125,1.924127459526062,1600
1996-01-16,5.8125,5.8125,5.78125,5.8125,1.934525728225708,7200
1996-01-17,5.90625,5.90625,5.84375,5.90625,1.9657293558120728,20800
1996-01-18,5.90625,5.9375,5.90625,5.9375,1.9761309623718262,9600
1996-01-19,5.9375,5.96875,5.9375,5.96875,1.9865317344665527,48000
1996-01-22,5.96875,5.96875,5.875,5.875,1.955328345298767,15200
1996-01-23,5.875,5.875,5.84375,5.84375,1.9449284076690674,3200
1996-01-24,5.875,5.90625,5.875,5.90625,1.9657293558120728,7200
1996-01-25,5.90625,5.90625,5.84375,5.84375,1.9449284076690674,8000
1996-01-26,5.78125,5.84375,5.78125,5.84375,1.9449284076690674,12800
1996-01-29,5.875,5.875,5.875,5.875,1.955328345298767,2800
1996-01-30,5.90625,6.03125,5.90625,6.03125,2.0073325634002686,39600
1996-01-31,6.03125,6.03125,6.03125,6.03125,2.0073325634002686,24000
1996-02-01,6.03125,6.0625,6.03125,6.03125,2.0073325634002686,15200
1996-02-02,6.03125,6.0625,6.03125,6.03125,2.0073325634002686,9200
1996-02-05,5.90625,5.90625,5.84375,5.90625,1.9657293558120728,12800
1996-02-06,5.9375,5.9375,5.9375,5.9375,1.9761309623718262,30000
1996-02-07,5.96875,5.96875,5.90625,5.9375,1.9761309623718262,10400
1996-02-08,5.96875,6.0,5.9375,6.0,1.9969308376312256,5200
1996-02-09,5.9375,5.9375,5.90625,5.90625,1.9657293558120728,9200
1996-02-12,5.90625,5.96875,5.90625,5.96875,1.9865317344665527,18000
1996-02-13,5.9375,6.0,5.9375,6.0,1.9969308376312256,14000
1996-02-14,6.0,6.0,5.90625,5.90625,1.9657293558120728,14800
1996-02-15,5.875,5.875,5.875,5.875,1.955328345298767,6400
1996-02-16,5.8125,5.8125,5.78125,5.8125,1.934525728225708,13200
1996-02-20,5.71875,5.71875,5.59375,5.59375,1.86172354221344,10400
1996-02-21,5.59375,5.59375,5.59375,5.59375,1.86172354221344,0
1996-02-22,5.65625,5.65625,5.625,5.65625,1.8825242519378662,63600
1996-02-23,5.65625,5.65625,5.65625,5.65625,1.8825242519378662,2000
1996-02-26,5.65625,5.65625,5.59375,5.625,1.8721235990524292,8400
1996-02-27,5.59375,5.65625,5.59375,5.625,1.8721235990524292,2400
1996-02-28,5.71875,5.75,5.71875,5.75,1.9137264490127563,9200
1996-02-29,5.75,5.75,5.75,5.75,1.9137264490127563,0
1996-03-01,5.8125,5.8125,5.8125,5.8125,1.934525728225708,800
1996-03-04,5.8125,5.875,5.8125,5.875,1.955328345298767,2800
1996-03-05,5.875,5.875,5.875,5.875,1.955328345298767,0
1996-03-06,5.867187976837158,5.9375,5.867187976837158,5.9375,1.9761309623718262,2000
1996-03-07,5.90625,5.90625,5.875,5.875,1.955328345298767,7200
1996-03-08,5.8125,5.8125,5.625,5.71875,1.903325080871582,26800
1996-03-11,5.71875,5.71875,5.6875,5.6875,1.892924427986145,5600
1996-03-12,5.71875,5.71875,5.71875,5.71875,1.903325080871582,400
1996-03-13,5.75,5.75,5.75,5.75,1.9137264490127563,21200
1996-03-14,5.75,5.75,5.75,5.75,1.9137264490127563,0
1996-03-15,5.75,5.84375,5.75,5.78125,1.924127459526062,14400
1996-03-18,5.78125,5.8125,5.78125,5.8125,1.934525728225708,18800
1996-03-19,5.875,5.875,5.84375,5.84375,1.9449284076690674,4400
1996-03-20,5.84375,5.84375,5.84375,5.84375,1.9449284076690674,2400
1996-03-21,5.90625,5.90625,5.8125,5.8125,1.934525728225708,6000
1996-03-22,5.8125,5.84375,5.8125,5.84375,1.9449284076690674,12000
1996-03-25,5.875,5.875,5.8125,5.8125,1.934525728225708,3600
1996-03-26,5.875,5.875,5.875,5.875,1.955328345298767,6000
1996-03-27,5.84375,5.84375,5.75,5.75,1.9137264490127563,5200
1996-03-28,5.71875,5.78125,5.71875,5.75,1.9137264490127563,8000
1996-03-29,5.78125,5.875,5.78125,5.875,1.955328345298767,11600
1996-04-01,5.875,5.875,5.875,5.875,1.955328345298767,23200
